"index","population"
"1","ASW"
"2","ASW"
"3","ASW"
"4","ASW"
"5","ASW"
"6","ASW"
"7","ASW"
"8","ASW"
"9","ASW"
"10","ASW"
"11","ASW"
"12","ASW"
"13","ASW"
"14","ASW"
"15","ASW"
"16","ASW"
"17","ASW"
"18","ASW"
"19","ASW"
"20","ASW"
"21","ASW"
"22","ASW"
"23","ASW"
"24","ASW"
"25","ASW"
"26","ASW"
"27","ASW"
"28","ASW"
"29","ASW"
"30","ASW"
"31","ASW"
"32","ASW"
"33","ASW"
"34","ASW"
"35","ASW"
"36","ASW"
"37","ASW"
"38","ASW"
"39","ASW"
"40","ASW"
"41","ASW"
"42","ASW"
"43","ASW"
"44","ASW"
"45","ASW"
"46","ASW"
"47","ASW"
"48","ASW"
"49","ASW"
"50","ASW"
"51","ASW"
"52","ASW"
"53","ASW"
"54","ASW"
"55","ASW"
"56","ASW"
"57","ASW"
"58","ASW"
"59","ASW"
"60","ASW"
"61","ASW"
"62","ASW"
"63","ASW"
"64","ASW"
"65","ASW"
"66","ASW"
"67","ASW"
"68","ASW"
"69","ASW"
"70","ASW"
"71","ASW"
"72","ASW"
"73","ASW"
"74","ASW"
"75","ASW"
"76","ASW"
"77","ASW"
"78","ASW"
"79","ASW"
"80","ASW"
"81","ASW"
"82","ASW"
"83","ASW"
"84","ASW"
"85","ASW"
"86","ASW"
"87","ASW"
"88","CEU"
"89","CEU"
"90","CEU"
"91","CEU"
"92","CEU"
"93","CEU"
"94","CEU"
"95","CEU"
"96","CEU"
"97","CEU"
"98","CEU"
"99","CEU"
"100","CEU"
"101","CEU"
"102","CEU"
"103","CEU"
"104","CEU"
"105","CEU"
"106","CEU"
"107","CEU"
"108","CEU"
"109","CEU"
"110","CEU"
"111","CEU"
"112","CEU"
"113","CEU"
"114","CEU"
"115","CEU"
"116","CEU"
"117","CEU"
"118","CEU"
"119","CEU"
"120","CEU"
"121","CEU"
"122","CEU"
"123","CEU"
"124","CEU"
"125","CEU"
"126","CEU"
"127","CEU"
"128","CEU"
"129","CEU"
"130","CEU"
"131","CEU"
"132","CEU"
"133","CEU"
"134","CEU"
"135","CEU"
"136","CEU"
"137","CEU"
"138","CEU"
"139","CEU"
"140","CEU"
"141","CEU"
"142","CEU"
"143","CEU"
"144","CEU"
"145","CEU"
"146","CEU"
"147","CEU"
"148","CEU"
"149","CEU"
"150","CEU"
"151","CEU"
"152","CEU"
